,Time,Number,Size,LDSA,Filter,Diff,Timestamp,Station,Date,Sensor,Session Id
0,134.5,4855,"39,5","10,44","7,58","4,85",2021-09-30 17:06:26,Gamla Stan,2021-09-30,DiSC,20210930-3
1,144.5,5020,"37,9","10,29","7,31","4,93",2021-09-30 17:06:36,Gamla Stan,2021-09-30,DiSC,20210930-3
2,154.5,5267,"37,2","10,6","7,47","5,14",2021-09-30 17:06:46,Gamla Stan,2021-09-30,DiSC,20210930-3
3,164.5,5783,"34,9","10,85","7,4","5,5",2021-09-30 17:06:56,Gamla Stan,2021-09-30,DiSC,20210930-3
4,174.5,5614,"35,9","10,84","7,5","5,4",2021-09-30 17:07:06,Gamla Stan,2021-09-30,DiSC,20210930-3
5,184.5,5579,36,"10,8","7,48","5,37",2021-09-30 17:07:16,Gamla Stan,2021-09-30,DiSC,20210930-3
6,194.5,5759,"35,4","10,95","7,52","5,51",2021-09-30 17:07:26,Gamla Stan,2021-09-30,DiSC,20210930-3
7,204.5,5770,35,"10,85","7,41","5,5",2021-09-30 17:07:36,Gamla Stan,2021-09-30,DiSC,20210930-3
8,214.5,5285,37,"10,55","7,41","5,14",2021-09-30 17:07:46,Gamla Stan,2021-09-30,DiSC,20210930-3
9,224.5,4442,"39,7","9,59","6,97","4,44",2021-09-30 17:07:56,Gamla Stan,2021-09-30,DiSC,20210930-3
10,234.5,3516,"44,9","8,71","6,69","3,67",2021-09-30 17:08:06,Gamla Stan,2021-09-30,DiSC,20210930-3
11,244.5,3316,47,"8,65","6,78","3,52",2021-09-30 17:08:16,Gamla Stan,2021-09-30,DiSC,20210930-3
12,254.5,3208,"47,8","8,52","6,72","3,42",2021-09-30 17:08:26,Gamla Stan,2021-09-30,DiSC,20210930-3
13,264.5,3159,"48,9","8,6","6,83","3,4",2021-09-30 17:08:36,Gamla Stan,2021-09-30,DiSC,20210930-3
14,274.5,3219,"47,9","8,56","6,75","3,44",2021-09-30 17:08:46,Gamla Stan,2021-09-30,DiSC,20210930-3
15,284.5,3396,"46,5","8,76","6,83","3,59",2021-09-30 17:08:56,Gamla Stan,2021-09-30,DiSC,20210930-3
16,294.5,4261,42,"9,81","7,32","4,35",2021-09-30 17:09:06,Gamla Stan,2021-09-30,DiSC,20210930-3
17,304.5,4383,"40,8","9,76","7,18","4,43",2021-09-30 17:09:16,Gamla Stan,2021-09-30,DiSC,20210930-3
18,314.5,5540,36,"10,74","7,44","5,34",2021-09-30 17:09:26,Gamla Stan,2021-09-30,DiSC,20210930-3
19,324.5,5966,"34,6","11,08","7,52","5,66",2021-09-30 17:09:36,Gamla Stan,2021-09-30,DiSC,20210930-3
20,334.5,5433,"36,3","10,64","7,41","5,25",2021-09-30 17:09:46,Gamla Stan,2021-09-30,DiSC,20210930-3
21,344.5,5242,"37,8","10,72","7,61","5,14",2021-09-30 17:09:56,Gamla Stan,2021-09-30,DiSC,20210930-3
22,354.5,6016,"34,6","11,16","7,58","5,7",2021-09-30 17:10:06,Gamla Stan,2021-09-30,DiSC,20210930-3
23,364.5,6729,"32,9","11,8","7,79","6,25",2021-09-30 17:10:16,Gamla Stan,2021-09-30,DiSC,20210930-3
24,374.5,6558,"33,1","11,59","7,68","6,1",2021-09-30 17:10:26,Gamla Stan,2021-09-30,DiSC,20210930-3
25,384.5,7011,"32,1","11,98","7,81","6,44",2021-09-30 17:10:36,Gamla Stan,2021-09-30,DiSC,20210930-3
26,394.5,7227,"31,6","12,11","7,81","6,59",2021-09-30 17:10:46,Gamla Stan,2021-09-30,DiSC,20210930-3
27,404.5,7065,"32,1","12,06","7,86","6,49",2021-09-30 17:10:56,Gamla Stan,2021-09-30,DiSC,20210930-3
28,1254.5,3486,"43,2","8,27","6,25","3,59",2021-09-30 17:25:06,Gullmarsplan,2021-09-30,DiSC,20210930-3
