,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0
,Q1,Q2,Q3,IQR,lowerLimit,upperLimit,outliers,prcnt_outliers,count
Station,,,,,,,,,
Abrahamsberg,9.96151356976357,18.08750677506775,46.25820580491319,36.29669223514962,-44.48352478296086,100.70324415763761,0.0,0.0,11
Alvik,13.896719887955182,17.51023887700618,40.0748319265144,26.178112038559217,-25.37044816988364,79.34199998435322,2.0,10.0,20
Angbyplan,28.61652086593636,39.616816379760046,50.617111893583726,22.000591027647367,-4.3843656755346885,83.61799843505477,0.0,0.0,2
Brommaplan,10.245478951133613,16.374823529411763,46.19452172827173,35.94904277713812,-43.678085214573564,100.1180858939789,0.0,0.0,11
Fridhemsplan,78.98032682775712,84.59831039238736,103.47985821581852,24.4995313880614,42.231029745665026,140.2291552979106,0.0,0.0,20
Gamla Stan,22.656481994459835,41.7641,66.20212121212121,43.545639217661375,-42.661976832032224,131.52058003861328,0.0,0.0,17
Gullmarsplan,14.73913643533123,22.859656942078367,41.24041472258628,26.501278287255047,-25.01278099555134,80.99233215346885,1.0,6.25,16
Hötorget,126.46541327208644,136.07502479188463,152.31783251231528,25.85241924022884,87.68678441174318,191.09646137265855,0.0,0.0,16
Islandstorget,19.430645658239694,27.571628328008522,44.014926395939085,24.58428073769939,-17.445775448309394,80.89134750248817,0.0,0.0,4
Kristineberg,14.263699545406178,21.326335785431525,47.36370892965128,33.100009384245105,-35.38631453096148,97.01372300601894,1.0,5.0,20
Medborgarplatsen,68.25168874172185,75.19212987012988,111.27254901960784,43.02086027788599,3.7203983248928694,175.80383943643682,0.0,0.0,17
Odenplan,99.1770927473262,108.6359307040177,115.09703308519437,15.91994033786817,75.29718224052394,138.97694359199662,1.0,3.7037037037037033,27
Rådmansgatan,94.63811267605634,113.005830449827,133.5798275862069,38.941714910150566,36.22554031083049,191.99239995143276,1.0,5.88235294117647,17
Skanstull,54.82754901960784,72.8987134502924,86.24993303571429,31.422384016106456,7.693972995448156,133.38350905987397,2.0,11.76470588235294,17
Slussen,69.00606575228888,97.35121710526316,126.39292845010176,57.38686269781289,-17.074228294430455,212.4732224968211,0.0,0.0,18
St Eriksplan,92.42784756711973,103.23320131661936,112.38565476190476,19.957807194785033,62.49113677494218,142.3223655540823,1.0,5.0,20
Stora mossen,11.151705753388255,18.25903529411765,50.824541479260375,39.67283572587212,-48.35754783541992,110.33379506806855,0.0,0.0,11
T-Centralen,116.95405772495756,135.3849136577708,145.29303797468353,28.338980249725964,74.44558735036861,187.80150834927247,1.0,5.88235294117647,17
Thorildsplan,10.81838028169014,16.717938461538463,43.51169491525424,32.6933146335641,-38.22159166865601,92.5516668656004,1.0,5.88235294117647,17
Åkeshov,10.161823008849558,17.102654292343388,37.54942857142857,27.38760556257901,-30.919585335018958,78.6308369152971,1.0,11.11111111111111,9
