,Islandstorget,Angbyplan,Åkeshov,Brommaplan,Abrahamsberg,Stora mossen,Alvik,Kristineberg,Thorildsplan,Fridhemsplan,St Eriksplan,Odenplan,Rådmansgatan,Hötorget,T-Centralen,Gamla Stan,Slussen,Medborgarplatsen,Skanstull,Gullmarsplan
SST,51.29794008506396,17.08755533284782,100.77678626457332,140.99595885133368,143.60852242333382,157.4181844329179,252.05107115878562,251.79462922562763,208.73985868176317,398.8412779158799,174.16152375033363,368.8948203851172,1461.1549919710485,454.25318880208613,422.8555533043877,283.43991028548203,1200.0294122354146,120.93325218715455,328.7539935941369,132.4477126044991
SSW,0.0 (Failed to reject Null Hypothesis),0.0 (Failed to reject Null Hypothesis),0.0 (Failed to reject Null Hypothesis),37.44761282785398,38.01910973090243,38.646803417643945,64.90076455410389,82.58674742526408,32.968414788987545,127.3935061138167,94.08500174449026,86.80621034021226,193.54122108604318,71.66837352698619,227.99137400635382,139.98885847042274,503.7195853129311,19.018277873759832,22.596765846033325,54.757321866254706
SSB,51.29794008506396,17.08755533284782,100.7767862645733,103.54834602347971,105.58941269243138,118.77138101527396,187.1503066046817,169.20788180036354,175.7714438927756,271.44777180206313,80.07652200584343,282.0886100449048,1267.6137708850051,382.5848152750998,194.86417929803386,143.45105181505923,696.3098269224835,101.91497431339465,306.1572277481035,77.69039073824439
Alpha,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
F-stat,,,,0.30723912451446844,0.30858578880108967,0.34147248791043083,1.6821221280845617,1.1951626719068977,2.42341378473072,1.2429560845097893,0.496479817583084,3.249636275323375,2.9770819592940603,1.941187502416836,0.38849990417261704,0.465787236675527,0.7540015739185244,2.4358140432991813,6.158508575844128,0.7094064144335248
F-crit,,,,59.857585145990534,59.857585145990534,59.857585145990534,2.6681114238101404,2.6681114238101404,3.281623292596799,2.6681114238101404,2.6681114238101404,2.080185087654393,3.281623292596799,3.9066937421488572,3.281623292596799,3.281623292596799,2.919517042502714,3.281623292596799,3.281623292596799,3.297401668029935
P-value,,,,0.9999987688235383,0.9999988952359239,0.9999955661457423,0.008149409824812603,0.18263149648351096,0.0018306675894576019,0.08193649695373284,0.9992644347909723,8.763264558453443e-10,1.1102230246251565e-16,0.00043724702879588406,0.9999999999845562,0.9999964960499657,0.9997055863079969,0.014638387681731313,2.772543209461631e-06,0.9185496062928443
F-stat > F-crit,False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),True (Significant Difference),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),True (Significant Difference),False (Failed to reject Null Hypothesis)
p-value < alpha,False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),True (Significant Difference),False (Failed to reject Null Hypothesis),True (Significant Difference),True (Significant Difference),False (Failed to reject Null Hypothesis),True (Significant Difference),True (Significant Difference),True (Significant Difference),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),False (Failed to reject Null Hypothesis),True (Significant Difference),True (Significant Difference),False (Failed to reject Null Hypothesis)
