,Islandstorget,Angbyplan,Åkeshov,Brommaplan,Abrahamsberg,Stora mossen,Alvik,Kristineberg,Thorildsplan,Fridhemsplan,St Eriksplan,Odenplan,Rådmansgatan,Hötorget,T-Centralen,Gamla Stan,Slussen,Medborgarplatsen,Skanstull,Gullmarsplan
SST,12459.596153982304,4669.408705779334,87492.8633596781,127753.07669630481,93561.52767478299,97326.89603542208,108456.20696733013,137347.74580823447,75798.96370045087,278736.8682845167,112479.5737390519,706092.2044746415,398813.76683968975,295047.8145738287,308051.83426383487,169927.5308535407,545981.5556897771,78440.64187965718,162633.37169977766,43623.328236020236
SSW,605.3583704395305,80.00855543688054,63184.683599551056,74962.45305834683,84133.6242699976,56983.89621003217,96493.1231800116,110132.19859730332,59921.43429171327,185719.1555648261,93521.52341942284,619370.1148893323,390016.11251915846,290818.5655289799,287195.2284025023,98703.83536456265,271085.94448665803,74910.92666516927,149181.2520934436,28195.191513594204
SSB,11854.237783542769,4589.400150342455,24308.179760127034,52790.623637957964,9427.90340478539,40342.99982538991,11963.08378731856,27215.54721093112,15877.5294087376,93017.71271969064,18958.05031962911,86722.08958530954,8797.654320531281,4229.249044848901,20856.605861332515,71223.69548897803,274895.611203119,3529.7152144879046,13452.119606334067,15428.136722426036
Alpha,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
F-stat,8821.772989788806,32638.618098848052,1385.7482305506028,2905.290701317913,251.57175062159965,1902.6746018052627,541.7245590773525,1019.9757431871404,881.1658911852661,2126.114504958855,718.111626091608,2089.3975197172863,82.11932667864036,49.488362180187714,274.29216277872723,2806.263310170033,3524.849458172738,208.85421372703672,344.5960826458632,1621.598603253509
F-crit,2.3084795909342333,2.714374859045759,2.3033212157059166,2.3032277889889836,2.3037663204366585,2.3035717744084305,2.303191893483244,2.303227477507469,2.303382435043326,2.3032096933278625,2.3033335823353767,2.3027627499276724,2.3033134292255344,2.3033642722671663,2.303287101954799,2.3032668806835073,2.303347904995952,2.3031832674131776,2.3032789256685198,2.3034798578867126
P-value,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
F-stat > F-crit,True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference)
p-value < alpha,True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference),True (Significant Difference)
