,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,NC1.0,order index
,mean,median,mode,min,max,x_range,sample_std,CI95,CV,standard_error,
Station,,,,,,,,,,,
Abrahamsberg,31.319354276236368,18.08750677506775,6.091978021978022,6.091978021978022,89.8685009861933,83.77652296421527,29.108150278842913,17.201817556341243,0.9293981613448777,8.776437528745532,4
Alvik,31.701708369562,17.51023887700618,5.719762308998303,5.719762308998303,109.16884773662552,103.44908542762722,28.598771389440813,12.533964192354091,0.9021208275608129,6.394879689976577,6
Angbyplan,39.616816379760046,39.616816379760046,17.616225352112675,17.616225352112675,61.61740740740741,44.001182055294734,31.113534211522737,43.12115841418884,0.7853617997285219,22.000591027647367,1
Brommaplan,31.16368053432831,16.374823529411763,8.491549295774648,8.491549295774648,87.00188933873144,78.5103400429568,28.898761727463256,17.07807682995653,0.9273218449159066,8.713304505079861,3
Fridhemsplan,91.28727211941344,84.59831039238736,66.03811594202898,66.03811594202898,137.96022871664547,71.9221127746165,20.375298983387992,8.92986850339263,0.22319977922809364,4.556055358873791,9
Gamla Stan,47.44595628931481,41.7641,10.767264437689969,10.767264437689969,112.73863265306125,101.97136821537127,31.619066948122818,15.030750324044105,0.6664227980845583,7.668750165328625,15
Gullmarsplan,29.788477470719606,22.859656942078367,2.69324439701174,2.69324439701174,83.44341935483871,80.75017495782697,23.692047196005944,11.609103126042912,0.7953426696377447,5.923011799001486,19
Hötorget,139.1960307204692,136.07502479188463,105.86444660194176,105.86444660194176,173.06430340557276,67.199856803631,20.7398803039573,10.162541348939076,0.14899764164688525,5.184970075989325,13
Islandstorget,35.87394372617026,27.571628328008522,7.948812664907652,7.948812664907652,80.40370558375635,72.4548929188487,31.293160166235786,30.66729696291107,0.8723088937502914,15.646580083117893,0
Kristineberg,34.147034916515494,21.326335785431525,5.848596059113301,5.848596059113301,106.39361301369864,100.54501695458534,28.960053176647644,12.6923029168586,0.8480986196151654,6.475664753499285,7
Medborgarplatsen,85.63469633552282,75.19212987012988,53.48740315638451,53.48740315638451,132.4480722891566,78.9606691327721,23.84281827474949,11.334156352472377,0.278424742482085,5.7827328328940695,17
Odenplan,108.63660233816083,108.6359307040177,85.6734862385321,85.6734862385321,139.01838983050848,53.344903591976376,13.05259856260272,4.92346857857863,0.1201491788372852,2.511973764580934,11
Rådmansgatan,121.6434765741866,113.005830449827,80.27345609065155,80.27345609065155,231.3141379310345,151.04068184038294,37.46213755631086,17.808369776937194,0.30796667944181827,9.085902947416937,12
Skanstull,78.50244312065733,72.8987134502924,45.69098236775819,45.69098236775819,146.9434743202417,101.25249195248352,30.010182340898822,14.265935129748268,0.382283418807406,7.278538331504218,18
Slussen,97.96730676143817,97.35121710526316,44.03843137254902,44.03843137254902,175.3668880455408,131.3284566729918,37.7085701865087,17.420470649316396,0.3849097360442242,8.88799522924306,16
St Eriksplan,106.2375637291071,103.23320131661936,85.42247557003257,85.42247557003257,146.03385345997285,60.61137788994027,17.283717654297185,7.574923245468655,0.16268932614426823,3.864756757892171,10
Stora mossen,32.89428077991108,18.25903529411765,4.4641843971631205,4.4641843971631205,92.78901081916536,88.32482642200223,30.664904927916012,18.121800763683883,0.9322260344613899,9.245816716165246,5
T-Centralen,133.2989987789677,135.3849136577708,103.82708661417324,103.82708661417324,190.9218881118881,87.09480149771487,22.194158175927925,10.550433089693682,0.1664990613525132,5.382874025353919,14
Thorildsplan,30.274870449102924,16.717938461538463,5.469518272425249,5.469518272425249,108.76529585798816,103.29577758556292,28.88491999862479,13.731019366942238,0.9540889711546456,7.005622125990938,8
Åkeshov,28.80222101049271,17.102654292343388,6.368066037735849,6.368066037735849,82.55914069877242,76.19107466103658,26.916249011896205,17.58528268777219,0.9345199108808505,8.972083003965402,2
