STM32_v0.1,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN
0,0.000000,0.000000,0,0.0,0.0,0,0,143413,614,1.90,4.07,5.73,6.07,23.30,43.27,8.05,12.80,15.05,15.45,15.51,0.68,0,0,3.58
1,0.000000,0.000000,0,0.0,0.0,0,0,143413,16527,1.90,4.07,5.73,6.07,23.24,43.10,8.05,12.80,15.05,15.45,15.51,0.68,0,0,3.58
2,0.000000,0.000000,0,0.0,0.0,0,20210422,143428,17534,1.56,1.65,1.65,1.65,23.34,42.17,10.73,12.43,12.46,12.46,12.46,0.28,0,0,3.57
3,0.000000,0.000000,0,0.0,0.0,0,20210422,143428,22520,1.56,1.65,1.65,1.65,23.32,42.09,10.73,12.43,12.46,12.46,12.46,0.28,0,0,3.58
4,0.000000,0.000000,0,0.0,0.0,0,20210422,143434,23522,1.55,1.63,1.63,1.63,23.34,41.69,10.62,12.30,12.33,12.34,12.34,0.28,0,0,3.57
5,0.000000,0.000000,0,0.0,0.0,0,20210422,143435,24524,1.52,1.60,1.60,1.60,23.37,41.27,10.43,12.08,12.11,12.11,12.11,0.28,0,0,3.57
6,0.000000,0.000000,0,0.0,0.0,0,20210422,143436,25526,1.48,1.56,1.56,1.56,23.35,40.85,10.17,11.78,11.81,11.81,11.81,0.28,0,0,3.57
7,0.000000,0.000000,0,0.0,0.0,0,20210422,143437,26534,1.43,1.52,1.52,1.52,23.40,40.37,9.85,11.41,11.44,11.45,11.45,0.28,0,0,3.57
8,0.000000,0.000000,0,0.0,0.0,0,20210422,143438,27535,1.38,1.46,1.46,1.46,23.40,39.76,9.50,11.01,11.03,11.04,11.04,0.28,0,0,3.57
9,0.000000,0.000000,0,0.0,0.0,0,20210422,143439,28536,1.33,1.40,1.40,1.40,23.40,39.02,9.12,10.57,10.59,10.60,10.60,0.28,0,0,3.57
10,0.000000,0.000000,0,0.0,0.0,0,20210422,143440,29537,1.27,1.34,1.34,1.34,23.42,38.20,8.72,10.10,10.13,10.13,10.13,0.28,0,0,3.58
11,0.000000,0.000000,0,0.0,0.0,0,20210422,143441,30546,1.21,1.28,1.28,1.28,23.43,37.62,8.31,9.63,9.65,9.65,9.66,0.28,0,0,3.58
12,0.000000,0.000000,0,0.0,0.0,0,20210422,143442,31555,1.16,1.22,1.22,1.22,23.44,37.44,7.95,9.21,9.23,9.23,9.24,0.42,0,0,3.57
13,0.000000,0.000000,0,0.0,0.0,0,20210422,143443,32564,1.11,1.17,1.17,1.17,23.46,37.06,7.63,8.84,8.86,8.86,8.87,0.36,0,0,3.57
14,0.000000,0.000000,0,0.0,0.0,0,20210422,143444,33573,1.06,1.12,1.12,1.12,23.44,36.56,7.30,8.45,8.47,8.48,8.48,0.36,0,0,3.57
15,0.000000,0.000000,0,0.0,0.0,0,20210422,143445,34577,1.01,1.07,1.07,1.07,23.44,36.20,6.95,8.05,8.07,8.08,8.08,0.36,0,0,3.57
16,0.000000,0.000000,0,0.0,0.0,0,20210422,143446,35586,0.96,1.02,1.02,1.02,23.46,35.58,6.60,7.65,7.67,7.67,7.67,0.36,0,0,3.57
17,0.000000,0.000000,0,0.0,0.0,0,20210422,143447,36595,0.92,0.97,0.97,0.97,23.52,34.92,6.31,7.31,7.33,7.33,7.33,0.33,0,0,3.57
18,0.000000,0.000000,0,0.0,0.0,0,20210422,143448,37604,0.87,0.92,0.92,0.92,23.53,34.47,6.01,6.96,6.98,6.98,6.98,0.33,0,0,3.58
19,0.000000,0.000000,0,0.0,0.0,0,20210422,143449,38609,0.83,0.88,0.88,0.88,23.56,34.01,5.70,6.61,6.62,6.62,6.63,0.33,0,0,3.57
20,0.000000,0.000000,0,0.0,0.0,0,20210422,143450,39619,0.79,0.83,0.83,0.83,23.51,33.79,5.40,6.25,6.27,6.27,6.27,0.33,0,0,3.57
21,0.000000,0.000000,0,0.0,0.0,0,20210422,143451,40628,0.75,0.79,0.79,0.79,23.53,33.47,5.15,5.97,5.98,5.99,5.99,0.32,0,0,3.57
22,0.000000,0.000000,0,0.0,0.0,0,20210422,143452,41637,0.71,0.75,0.75,0.75,23.56,33.01,4.90,5.68,5.69,5.69,5.70,0.32,0,0,3.57
23,0.000000,0.000000,0,0.0,0.0,0,20210422,143453,42642,0.68,0.72,0.72,0.72,23.56,32.59,4.65,5.39,5.40,5.40,5.40,0.32,0,0,3.57
24,0.000000,0.000000,0,0.0,0.0,0,20210422,143454,43651,0.64,0.68,0.68,0.68,23.59,32.33,4.40,5.10,5.11,5.11,5.11,0.32,0,0,3.57
25,0.000000,0.000000,0,0.0,0.0,0,20210422,143455,44660,0.60,0.64,0.64,0.64,23.60,32.06,4.15,4.81,4.82,4.82,4.82,0.32,0,0,3.57
26,0.000000,0.000000,0,0.0,0.0,0,20210422,143456,45669,0.58,0.61,0.61,0.61,23.63,31.82,3.96,4.59,4.60,4.60,4.61,0.31,0,0,3.57
27,0.000000,0.000000,0,0.0,0.0,0,20210422,143457,46674,0.55,0.58,0.58,0.58,23.61,31.51,3.77,4.37,4.38,4.38,4.38,0.31,0,0,3.57
28,0.000000,0.000000,0,0.0,0.0,0,20210422,143458,47683,0.53,0.56,0.56,0.56,23.65,31.37,3.63,4.21,4.22,4.22,4.22,0.36,0,0,3.57
29,0.000000,0.000000,0,0.0,0.0,0,20210422,143459,48692,0.51,0.54,0.54,0.54,23.67,31.72,3.54,4.10,4.11,4.11,4.11,0.37,0,0,3.57
30,0.000000,0.000000,0,0.0,0.0,0,20210422,143500,49701,0.50,0.53,0.53,0.53,23.57,32.39,3.42,3.97,3.98,3.98,3.98,0.37,0,0,3.57
31,0.000000,0.000000,0,0.0,0.0,0,20210422,143501,50706,0.48,0.51,0.51,0.51,23.66,32.88,3.30,3.82,3.83,3.83,3.83,0.37,0,0,3.57
32,0.000000,0.000000,0,0.0,0.0,0,20210422,143502,51715,0.46,0.49,0.49,0.49,23.66,33.26,3.16,3.66,3.67,3.67,3.67,0.37,0,0,3.57
33,0.000000,0.000000,0,0.0,0.0,0,20210422,143503,52724,0.44,0.47,0.47,0.47,23.66,33.46,3.02,3.50,3.51,3.51,3.51,0.37,0,0,3.57
34,0.000000,0.000000,0,0.0,0.0,0,20210422,143504,53733,0.42,0.44,0.44,0.44,23.68,33.50,2.88,3.33,3.34,3.34,3.34,0.37,0,0,3.57
35,0.000000,0.000000,0,0.0,0.0,0,20210422,143505,54738,0.40,0.42,0.42,0.42,23.71,33.87,2.73,3.16,3.17,3.17,3.17,0.37,0,0,3.57
36,0.000000,0.000000,0,0.0,0.0,0,20210422,143506,55748,0.38,0.41,0.41,0.41,23.70,34.86,2.64,3.06,3.07,3.07,3.07,0.37,0,0,3.57
37,0.000000,0.000000,0,0.0,0.0,0,20210422,143507,56757,0.37,0.39,0.39,0.39,23.70,35.83,2.54,2.94,2.95,2.95,2.95,0.37,0,0,3.57
38,0.000000,0.000000,0,0.0,0.0,0,20210422,143508,57766,0.35,0.37,0.37,0.37,23.70,36.45,2.43,2.82,2.83,2.83,2.83,0.37,0,0,3.57
39,0.000000,0.000000,0,0.0,0.0,0,20210422,143509,58771,0.34,0.36,0.36,0.36,23.73,36.54,2.32,2.69,2.70,2.70,2.70,0.37,0,0,3.57
40,0.000000,0.000000,0,0.0,0.0,0,20210422,143510,59780,0.32,0.34,0.34,0.34,23.70,35.66,2.21,2.56,2.57,2.57,2.57,0.37,0,0,3.57
41,0.000000,0.000000,0,0.0,0.0,0,20210422,143511,60789,0.32,0.34,0.34,0.34,23.80,34.91,2.20,2.55,2.56,2.56,2.56,0.38,0,0,3.57
42,0.000000,0.000000,0,0.0,0.0,0,20210422,143512,61798,0.32,0.33,0.33,0.33,23.77,34.58,2.18,2.52,2.53,2.53,2.53,0.38,0,0,3.57
43,0.000000,0.000000,0,0.0,0.0,0,20210422,143513,62803,0.31,0.33,0.33,0.33,23.78,34.12,2.13,2.47,2.48,2.48,2.48,0.38,0,0,3.57
44,0.000000,0.000000,0,0.0,0.0,0,20210422,143514,63812,0.31,0.33,0.33,0.33,23.77,33.65,2.13,2.47,2.47,2.47,2.47,0.39,0,0,3.57
45,0.000000,0.000000,0,0.0,0.0,0,20210422,143515,64821,0.31,0.33,0.33,0.33,23.82,33.18,2.16,2.50,2.51,2.51,2.51,0.38,0,0,3.57
46,0.000000,0.000000,0,0.0,0.0,0,20210422,143516,65830,0.31,0.33,0.33,0.33,23.86,32.76,2.16,2.50,2.51,2.51,2.51,0.38,0,0,3.57
47,0.000000,0.000000,0,0.0,0.0,0,20210422,143517,66835,0.32,0.34,0.34,0.34,23.85,32.32,2.19,2.54,2.55,2.55,2.55,0.39,0,0,3.57
48,0.000000,0.000000,0,0.0,0.0,0,20210422,143518,67844,0.33,0.35,0.35,0.35,23.89,32.27,2.25,2.61,2.62,2.62,2.62,0.42,0,0,3.57
49,0.000000,0.000000,0,0.0,0.0,0,20210422,143519,68853,0.33,0.35,0.35,0.35,23.95,32.54,2.28,2.64,2.65,2.65,2.65,0.42,0,0,3.57
50,0.000000,0.000000,0,0.0,0.0,0,20210422,143520,69862,0.34,0.36,0.36,0.36,23.90,32.66,2.33,2.70,2.71,2.71,2.71,0.44,0,0,3.57
51,0.000000,0.000000,0,0.0,0.0,0,20210422,143521,70867,0.35,0.37,0.37,0.37,23.94,32.45,2.40,2.78,2.79,2.79,2.79,0.47,0,0,3.57
52,0.000000,0.000000,0,0.0,0.0,0,20210422,143522,71876,0.35,0.38,0.38,0.38,23.99,32.48,2.44,2.82,2.83,2.83,2.83,0.47,0,0,3.57
53,0.000000,0.000000,0,0.0,0.0,0,20210422,143523,72885,0.36,0.38,0.38,0.38,23.99,32.53,2.44,2.83,2.83,2.84,2.84,0.47,0,0,3.57
54,0.000000,0.000000,0,0.0,0.0,0,20210422,143524,73894,0.35,0.37,0.37,0.37,24.04,32.69,2.43,2.82,2.82,2.82,2.82,0.49,0,0,3.57
55,0.000000,0.000000,0,0.0,0.0,0,20210422,143525,74899,0.36,0.38,0.38,0.38,24.02,32.52,2.47,2.86,2.87,2.87,2.87,0.47,0,0,3.56
56,0.000000,0.000000,0,0.0,0.0,0,20210422,143526,75908,0.36,0.38,0.38,0.38,24.08,32.40,2.48,2.87,2.88,2.88,2.88,0.47,0,0,3.56
57,0.000000,0.000000,0,0.0,0.0,0,20210422,143527,76917,0.36,0.38,0.38,0.38,24.06,32.24,2.46,2.85,2.85,2.85,2.86,0.47,0,0,3.57
58,0.000000,0.000000,0,0.0,0.0,0,20210422,143528,77926,0.36,0.38,0.38,0.38,24.11,32.15,2.47,2.86,2.87,2.87,2.87,0.47,0,0,3.56
59,0.000000,0.000000,0,0.0,0.0,0,20210422,143529,78931,0.36,0.38,0.38,0.38,24.14,32.03,2.46,2.85,2.85,2.85,2.86,0.47,0,0,3.57
60,0.000000,0.000000,0,0.0,0.0,0,20210422,143530,79940,0.35,0.37,0.37,0.37,24.13,32.08,2.42,2.81,2.81,2.81,2.81,0.47,0,0,3.56
61,0.000000,0.000000,0,0.0,0.0,0,20210422,143531,80949,0.34,0.36,0.36,0.36,24.16,32.30,2.37,2.74,2.75,2.75,2.75,0.47,0,0,3.56
