STM32_v0.1,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN
0,0.000000,0.000000,0,0.0,0.0,0,0,80331,614,28.61,56.89,78.44,82.75,26.29,57.76,131.56,197.47,226.61,231.81,232.68,1.04,0,0,3.80
1,0.000000,0.000000,0,0.0,0.0,0,0,80346,16529,28.61,56.89,78.44,82.75,26.25,57.69,131.56,197.47,226.61,231.81,232.68,1.04,0,0,3.80
2,0.000000,0.000000,0,0.0,0.0,0,20210621,80346,17536,17.78,22.50,25.49,26.09,26.28,57.65,113.19,137.36,141.68,142.43,142.57,0.64,0,0,3.80
3,0.000000,0.000000,0,0.0,0.0,0,20210621,80347,18545,17.59,20.94,22.83,23.21,26.26,57.98,115.18,137.36,140.22,140.71,140.81,0.63,0,0,3.80
4,0.000000,0.000000,0,0.0,0.0,0,20210621,80348,19547,17.48,19.87,20.99,21.21,26.29,58.05,116.75,137.57,139.41,139.71,139.78,0.61,0,0,3.80
5,0.000000,0.000000,0,0.0,0.0,0,20210621,80349,20548,17.60,20.56,22.13,22.44,26.30,58.06,116.24,137.92,140.36,140.77,140.85,0.62,0,0,3.80
6,0.000000,0.000000,0,0.0,0.0,0,20210621,80350,21556,17.63,20.26,21.57,21.83,26.29,58.30,117.20,138.48,140.57,140.92,141.00,0.58,0,0,3.79
7,0.000000,0.000000,0,0.0,0.0,0,20210621,80351,22558,17.84,21.00,22.74,23.09,26.29,58.57,117.37,139.57,142.22,142.67,142.76,0.61,0,0,3.80
8,0.000000,0.000000,0,0.0,0.0,0,20210621,80352,23559,17.96,21.14,22.88,23.23,26.32,59.07,118.19,140.53,143.20,143.65,143.74,0.62,0,0,3.80
9,0.000000,0.000000,0,0.0,0.0,0,20210621,80353,24560,18.12,21.67,23.70,24.10,26.34,59.63,118.42,141.40,144.45,144.97,145.08,0.64,0,0,3.80
10,0.000000,0.000000,0,0.0,0.0,0,20210621,80354,25568,18.39,22.86,25.61,26.16,26.33,60.40,118.09,142.55,146.57,147.26,147.40,0.66,0,0,3.80
11,0.000000,0.000000,0,0.0,0.0,0,20210621,80355,26571,18.47,22.50,24.89,25.37,26.34,60.83,119.75,143.71,147.25,147.86,147.98,0.66,0,0,3.80
12,0.000000,0.000000,0,0.0,0.0,0,20210621,80356,27573,18.76,22.98,25.53,26.04,26.36,60.99,121.29,145.80,149.55,150.19,150.31,0.66,0,0,3.80
13,0.000000,0.000000,0,0.0,0.0,0,20210621,80357,28575,18.98,23.42,26.13,26.67,26.34,61.20,122.28,147.29,151.27,151.95,152.08,0.67,0,0,3.79
14,0.000000,0.000000,0,0.0,0.0,0,20210621,80358,29584,19.09,23.48,26.15,26.69,26.35,60.91,123.11,148.18,152.10,152.78,152.91,0.67,0,0,3.80
15,0.000000,0.000000,0,0.0,0.0,0,20210621,80359,30586,19.22,23.66,26.37,26.91,26.35,60.39,123.91,149.18,153.15,153.83,153.96,0.67,0,0,3.79
16,0.000000,0.000000,0,0.0,0.0,0,20210621,80400,31589,19.36,24.05,26.96,27.54,26.32,60.08,124.29,150.03,154.26,154.99,155.13,0.67,0,0,3.80
17,0.000000,0.000000,0,0.0,0.0,0,20210621,80401,32598,19.51,24.29,27.25,27.84,26.36,59.58,125.13,151.12,155.44,156.19,156.33,0.67,0,0,3.79
18,0.000000,0.000000,0,0.0,0.0,0,20210621,80402,33601,19.64,24.45,27.44,28.03,26.34,59.06,125.95,152.12,156.47,157.22,157.36,0.68,0,0,3.80
19,0.000000,0.000000,0,0.0,0.0,0,20210621,80403,34604,19.82,24.81,27.93,28.55,26.30,58.85,126.83,153.43,157.96,158.74,158.89,0.68,0,0,3.79
20,0.000000,0.000000,0,0.0,0.0,0,20210621,80404,35607,20.04,25.08,28.23,28.85,26.30,58.45,128.24,155.11,159.69,160.48,160.63,0.68,0,0,3.80
21,0.000000,0.000000,0,0.0,0.0,0,20210621,80405,36616,20.21,25.29,28.46,29.09,26.29,58.02,129.33,156.43,161.03,161.83,161.98,0.69,0,0,3.79
22,0.000000,0.000000,0,0.0,0.0,0,20210621,80406,37619,20.36,25.47,28.66,29.30,26.33,57.71,130.32,157.61,162.25,163.05,163.20,0.69,0,0,3.79
23,0.000000,0.000000,0,0.0,0.0,0,20210621,80407,38622,20.44,25.58,28.78,29.43,26.36,58.04,130.84,158.24,162.90,163.71,163.86,0.69,0,0,3.80
24,0.000000,0.000000,0,0.0,0.0,0,20210621,80408,39625,20.47,25.61,28.82,29.46,26.32,58.85,130.98,158.42,163.09,163.89,164.05,0.69,0,0,3.79
25,0.000000,0.000000,0,0.0,0.0,0,20210621,80409,40634,20.51,25.65,28.87,29.51,26.34,58.95,131.24,158.73,163.40,164.21,164.36,0.68,0,0,3.79
26,0.000000,0.000000,0,0.0,0.0,0,20210621,80410,41637,20.46,25.60,28.80,29.44,26.37,58.69,130.96,158.39,163.05,163.85,164.00,0.68,0,0,3.80
27,0.000000,0.000000,0,0.0,0.0,0,20210621,80411,42640,20.50,25.64,28.85,29.49,26.36,58.58,131.18,158.65,163.32,164.12,164.28,0.69,0,0,3.79
