,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
35,2021-10-12 07:52:04,Gullmarsplan,2,18.0,39.9,5.07,6.4,6.74,6.81,0.75,0.85,1.2,1.45,1.5,20211012-2
36,2021-10-12 07:52:04,Gullmarsplan,5,18.4,37.9,4.04,4.88,5.02,5.05,0.76,0.63,0.79,0.88,0.9,20211012-2
37,2021-10-12 07:52:04,Gullmarsplan,6,18.2,38.6,5.46,6.55,6.72,6.76,0.57,0.84,1.04,1.15,1.18,20211012-2
38,2021-10-12 07:52:04,Gullmarsplan,6,18.2,38.6,5.4,6.47,6.64,6.67,0.57,0.83,1.02,1.13,1.15,20211012-2
39,2021-10-12 07:52:05,Gullmarsplan,1,18.7,38.1,4.25,5.33,5.61,5.67,0.71,0.7,0.99,1.19,1.23,20211012-2
40,2021-10-12 07:52:05,Gullmarsplan,2,18.0,39.8,5.13,6.45,6.77,6.84,0.74,0.85,1.19,1.43,1.47,20211012-2
41,2021-10-12 07:52:05,Gullmarsplan,3,17.9,39.4,4.95,6.59,7.16,7.28,0.83,0.9,1.48,1.9,1.98,20211012-2
42,2021-10-12 07:52:05,Gullmarsplan,4,18.7,38.0,5.14,6.63,7.07,7.17,0.82,0.89,1.35,1.68,1.75,20211012-2
43,2021-10-12 07:52:05,Gullmarsplan,5,18.4,37.9,3.97,4.8,4.94,4.97,0.76,0.62,0.77,0.87,0.89,20211012-2
44,2021-10-12 07:52:06,Gullmarsplan,1,18.6,38.1,4.16,5.22,5.49,5.54,0.7,0.69,0.96,1.15,1.19,20211012-2
45,2021-10-12 07:52:06,Gullmarsplan,2,18.0,39.7,5.09,6.39,6.72,6.78,0.74,0.84,1.18,1.42,1.46,20211012-2
46,2021-10-12 07:52:06,Gullmarsplan,3,17.9,39.4,4.89,6.48,7.02,7.13,0.82,0.88,1.43,1.84,1.92,20211012-2
47,2021-10-12 07:52:06,Gullmarsplan,4,18.7,38.1,5.11,6.58,7.02,7.11,0.82,0.88,1.34,1.66,1.73,20211012-2
48,2021-10-12 07:52:06,Gullmarsplan,5,18.4,37.9,3.92,4.74,4.88,4.91,0.76,0.61,0.77,0.86,0.88,20211012-2
49,2021-10-12 07:52:06,Gullmarsplan,6,18.2,38.6,5.28,6.34,6.5,6.53,0.57,0.82,1.0,1.11,1.13,20211012-2
50,2021-10-12 07:52:07,Gullmarsplan,1,18.7,38.0,4.1,5.12,5.38,5.43,0.71,0.68,0.94,1.12,1.15,20211012-2
51,2021-10-12 07:52:07,Gullmarsplan,2,18.0,39.7,5.06,6.35,6.66,6.72,0.73,0.84,1.16,1.39,1.43,20211012-2
52,2021-10-12 07:52:07,Gullmarsplan,3,17.9,39.3,4.78,6.34,6.87,6.97,0.82,0.86,1.4,1.79,1.87,20211012-2
53,2021-10-12 07:52:07,Gullmarsplan,4,18.7,38.1,5.07,6.53,6.96,7.05,0.82,0.88,1.32,1.65,1.71,20211012-2
54,2021-10-12 07:52:07,Gullmarsplan,5,18.4,37.9,3.89,4.7,4.84,4.87,0.77,0.61,0.76,0.85,0.87,20211012-2
55,2021-10-12 07:52:07,Gullmarsplan,6,18.1,38.5,5.18,6.22,6.38,6.41,0.57,0.8,0.98,1.09,1.12,20211012-2
56,2021-10-12 07:52:08,Gullmarsplan,1,18.7,38.0,3.99,4.99,5.24,5.29,0.71,0.66,0.91,1.09,1.12,20211012-2
57,2021-10-12 07:52:08,Gullmarsplan,2,18.0,39.7,4.98,6.24,6.55,6.61,0.73,0.82,1.14,1.36,1.41,20211012-2
58,2021-10-12 07:52:08,Gullmarsplan,3,18.0,39.3,4.71,6.26,6.79,6.9,0.83,0.86,1.39,1.79,1.87,20211012-2
59,2021-10-12 07:52:08,Gullmarsplan,4,18.7,38.1,4.99,6.42,6.85,6.94,0.82,0.86,1.3,1.62,1.68,20211012-2
