STM32_v0.1,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN
0,0.000000,0.000000,0,0.0,0.0,0,0,104124,614,13.41,15.06,15.77,15.91,29.04,58.29,90.05,105.78,106.99,107.19,107.23,0.52,0,0,3.80
1,0.000000,0.000000,0,0.0,0.0,0,0,104124,16504,13.41,15.06,15.77,15.91,29.05,58.06,90.05,105.78,106.99,107.19,107.23,0.52,0,0,3.80
2,0.000000,0.000000,0,0.0,0.0,0,20210620,104139,17510,16.39,17.33,17.33,17.33,29.02,57.72,112.65,130.47,130.80,130.84,130.86,0.46,0,0,3.80
3,0.000000,0.000000,0,0.0,0.0,0,20210620,104140,18520,16.59,18.88,19.96,20.17,29.08,57.53,110.75,130.53,132.30,132.59,132.65,0.52,0,0,3.80
4,0.000000,0.000000,0,0.0,0.0,0,20210620,104141,19522,16.29,17.23,17.23,17.23,29.03,57.34,111.98,129.70,130.03,130.06,130.09,0.50,0,0,3.80
5,0.000000,0.000000,0,0.0,0.0,0,20210620,104142,20524,16.17,17.10,17.10,17.10,29.10,57.10,111.15,128.74,129.07,129.10,129.12,0.50,0,0,3.80
6,0.000000,0.000000,0,0.0,0.0,0,20210620,104143,21533,16.07,16.99,16.99,16.99,29.08,56.75,110.44,127.92,128.24,128.27,128.29,0.49,0,0,3.80
7,0.000000,0.000000,0,0.0,0.0,0,20210620,104144,22535,15.96,16.87,16.87,16.87,29.10,56.42,109.67,127.03,127.35,127.38,127.40,0.51,0,0,3.80
8,0.000000,0.000000,0,0.0,0.0,0,20210620,104145,23537,15.83,16.74,16.74,16.74,29.10,56.08,108.81,126.03,126.35,126.38,126.40,0.49,0,0,3.80
9,0.000000,0.000000,0,0.0,0.0,0,20210620,104146,24539,15.71,16.61,16.61,16.61,29.13,55.78,107.99,125.08,125.39,125.43,125.45,0.51,0,0,3.80
10,0.000000,0.000000,0,0.0,0.0,0,20210620,104147,25548,15.61,16.51,16.51,16.51,29.07,55.51,107.32,124.30,124.61,124.65,124.67,0.51,0,0,3.80
11,0.000000,0.000000,0,0.0,0.0,0,20210620,104148,26551,15.50,16.39,16.39,16.39,29.14,55.31,106.51,123.36,123.67,123.70,123.72,0.49,0,0,3.80
12,0.000000,0.000000,0,0.0,0.0,0,20210620,104149,27554,15.39,16.27,16.27,16.27,29.19,55.15,105.75,122.48,122.79,122.82,122.84,0.51,0,0,3.80
13,0.000000,0.000000,0,0.0,0.0,0,20210620,104150,28557,15.28,16.16,16.16,16.16,29.16,55.01,105.04,121.66,121.97,122.00,122.02,0.50,0,0,3.80
14,0.000000,0.000000,0,0.0,0.0,0,20210620,104151,29567,15.20,16.08,16.08,16.08,29.17,55.00,104.49,121.03,121.33,121.37,121.39,0.50,0,0,3.80
15,0.000000,0.000000,0,0.0,0.0,0,20210620,104152,30570,15.13,16.00,16.00,16.00,29.20,55.17,104.02,120.48,120.79,120.82,120.84,0.50,0,0,3.80
16,0.000000,0.000000,0,0.0,0.0,0,20210620,104153,31573,15.05,15.92,15.92,15.92,29.20,55.27,103.46,119.83,120.13,120.16,120.19,0.50,0,0,3.80
17,0.000000,0.000000,0,0.0,0.0,0,20210620,104154,32583,14.93,15.79,15.79,15.79,29.22,55.24,102.61,118.85,119.15,119.18,119.20,0.50,0,0,3.79
18,0.000000,0.000000,0,0.0,0.0,0,20210620,104155,33586,14.81,15.66,15.66,15.66,29.22,55.14,101.81,117.92,118.22,118.25,118.27,0.49,0,0,3.80
19,0.000000,0.000000,0,0.0,0.0,0,20210620,104156,34589,14.71,15.56,15.56,15.56,29.22,55.04,101.11,117.11,117.41,117.44,117.46,0.49,0,0,3.80
20,0.000000,0.000000,0,0.0,0.0,0,20210620,104157,35592,14.62,15.46,15.46,15.46,29.22,54.85,100.50,116.40,116.70,116.73,116.75,0.49,0,0,3.80
21,0.000000,0.000000,0,0.0,0.0,0,20210620,104158,36602,14.54,15.37,15.37,15.37,29.24,54.69,99.91,115.72,116.01,116.04,116.06,0.50,0,0,3.80
22,0.000000,0.000000,0,0.0,0.0,0,20210620,104159,37604,14.41,15.24,15.24,15.24,29.26,54.52,99.08,114.75,115.04,115.07,115.09,0.49,0,0,3.80
23,0.000000,0.000000,0,0.0,0.0,0,20210620,104200,38606,14.32,15.14,15.14,15.14,29.27,54.39,98.43,114.00,114.29,114.32,114.34,0.50,0,0,3.80
24,0.000000,0.000000,0,0.0,0.0,0,20210620,104201,39608,14.23,15.05,15.05,15.05,29.27,54.34,97.83,113.31,113.60,113.63,113.65,0.50,0,0,3.79
25,0.000000,0.000000,0,0.0,0.0,0,20210620,104202,40617,14.14,14.95,14.95,14.95,29.28,54.31,97.18,112.55,112.84,112.87,112.89,0.50,0,0,3.80
26,0.000000,0.000000,0,0.0,0.0,0,20210620,104203,41619,14.01,14.81,14.81,14.81,29.27,54.68,96.26,111.50,111.78,111.81,111.83,0.50,0,0,3.80
27,0.000000,0.000000,0,0.0,0.0,0,20210620,104204,42621,13.84,14.64,14.64,14.64,29.30,55.17,95.15,110.21,110.49,110.51,110.53,0.50,0,0,3.80
28,0.000000,0.000000,0,0.0,0.0,0,20210620,104205,43630,13.73,14.52,14.52,14.52,29.29,55.43,94.37,109.30,109.58,109.61,109.63,0.51,0,0,3.79
