,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
0,2021-10-05 15:04:00,Odenplan,A,18.9,69.5,77.43,106.78,117.98,120.28,0.91,14.87,25.82,34.0,35.63,20211005-4
1,2021-10-05 15:04:00,Odenplan,B,18.6,69.3,52.67,80.37,92.85,95.38,1.09,11.73,24.09,33.55,35.44,20211005-4
2,2021-10-05 15:04:00,Odenplan,C,18.4,70.4,64.21,100.11,116.64,119.92,1.13,14.74,31.26,43.95,46.48,20211005-4
3,2021-10-05 15:04:00,Odenplan,D,18.6,69.8,45.41,74.26,88.32,91.21,1.16,11.17,24.63,35.0,37.08,20211005-4
4,2021-10-05 15:04:00,Odenplan,E,18.1,72.4,61.61,89.91,101.92,104.42,1.02,12.86,24.55,33.42,35.2,20211005-4
5,2021-10-05 15:04:01,Odenplan,A,18.9,69.4,76.65,106.71,118.45,120.86,0.93,14.93,26.38,34.95,36.67,20211005-4
6,2021-10-05 15:04:01,Odenplan,B,18.6,69.1,54.7,81.86,93.8,96.22,1.07,11.84,23.7,32.74,34.54,20211005-4
7,2021-10-05 15:04:01,Odenplan,C,18.4,70.3,64.74,100.35,116.64,119.87,1.12,14.74,31.03,43.53,46.03,20211005-4
8,2021-10-05 15:04:01,Odenplan,D,18.6,69.8,45.49,74.76,89.08,92.02,1.16,11.27,24.97,35.54,37.65,20211005-4
9,2021-10-05 15:04:01,Odenplan,E,18.2,72.4,62.51,91.46,103.8,106.37,1.03,13.1,25.11,34.22,36.04,20211005-4
10,2021-10-05 15:04:02,Odenplan,A,18.9,69.3,76.17,106.47,118.39,120.85,0.93,14.92,26.56,35.28,37.02,20211005-4
11,2021-10-05 15:04:02,Odenplan,B,18.6,69.1,54.53,82.3,94.64,97.14,1.08,11.95,24.19,33.54,35.41,20211005-4
12,2021-10-05 15:04:02,Odenplan,C,18.4,70.2,64.55,100.42,116.91,120.17,1.12,14.78,31.25,43.9,46.42,20211005-4
13,2021-10-05 15:04:02,Odenplan,D,18.6,69.8,47.61,76.62,90.55,93.41,1.14,11.45,24.8,35.08,37.13,20211005-4
14,2021-10-05 15:04:02,Odenplan,E,18.2,72.5,62.94,92.73,105.55,108.22,1.04,13.32,25.79,35.27,37.16,20211005-4
15,2021-10-05 15:04:03,Odenplan,A,18.9,69.2,75.63,106.62,119.06,121.62,0.95,15.01,27.12,36.22,38.04,20211005-4
16,2021-10-05 15:04:03,Odenplan,B,18.6,69.0,55.5,83.19,95.39,97.86,1.08,12.05,24.15,33.39,35.24,20211005-4
17,2021-10-05 15:04:03,Odenplan,C,18.4,70.0,64.47,100.61,117.27,120.57,1.12,14.82,31.47,44.25,46.81,20211005-4
18,2021-10-05 15:04:03,Odenplan,D,18.6,69.8,47.69,77.03,91.16,94.06,1.15,11.53,25.07,35.5,37.58,20211005-4
19,2021-10-05 15:04:03,Odenplan,E,18.2,72.4,64.58,94.55,107.33,109.99,1.04,13.54,25.99,35.43,37.31,20211005-4
20,2021-10-05 15:04:04,Odenplan,C,18.4,69.9,64.79,100.53,116.9,120.15,1.11,14.77,31.14,43.7,46.22,20211005-4
21,2021-10-05 15:04:04,Odenplan,D,18.6,69.7,48.87,77.82,91.59,94.43,1.13,11.58,24.79,34.95,36.98,20211005-4
22,2021-10-05 15:04:05,Odenplan,A,18.9,69.2,75.74,106.51,118.79,121.31,0.94,14.97,26.93,35.92,37.72,20211005-4
23,2021-10-05 15:04:05,Odenplan,B,18.7,68.9,56.49,84.18,96.29,98.74,1.08,12.16,24.18,33.34,35.18,20211005-4
24,2021-10-05 15:04:05,Odenplan,D,18.7,69.7,49.19,77.99,91.63,94.44,1.13,11.58,24.68,34.73,36.75,20211005-4
25,2021-10-05 15:04:05,Odenplan,E,18.2,72.4,65.27,94.98,107.54,110.16,1.04,13.57,25.8,35.07,36.92,20211005-4
26,2021-10-05 15:04:06,Odenplan,A,19.0,69.1,75.3,105.93,118.16,120.68,0.94,14.9,26.81,35.76,37.55,20211005-4
27,2021-10-05 15:04:06,Odenplan,B,18.7,68.9,57.1,84.99,97.17,99.64,1.08,12.27,24.36,33.58,35.42,20211005-4
28,2021-10-05 15:04:06,Odenplan,C,18.4,69.9,64.63,100.64,117.2,120.48,1.11,14.81,31.36,44.06,46.6,20211005-4
29,2021-10-05 15:04:06,Odenplan,D,18.7,69.6,49.65,78.36,91.89,94.67,1.12,11.61,24.61,34.59,36.58,20211005-4
30,2021-10-05 15:04:06,Odenplan,E,18.2,72.3,66.2,95.85,108.27,110.85,1.03,13.66,25.77,34.93,36.77,20211005-4
31,2021-10-05 15:04:07,Odenplan,A,19.0,69.1,74.35,105.22,117.7,120.27,0.95,14.84,26.99,36.13,37.95,20211005-4
