,Time,Number,Size,LDSA,Filter,Diff,Timestamp,Sensor,Station,Date,Session Id
0,1664.5,2772,"56,9","8,94","7,5","3,14",2021-10-05 07:28:44,DiSC,Gamla Stan,2021-10-05,20211005-1
1,1674.5,2671,"58,3","8,84","7,47","3,05",2021-10-05 07:28:54,DiSC,Gamla Stan,2021-10-05,20211005-1
2,1684.5,2615,"60,1","8,96","7,65","3,02",2021-10-05 07:29:04,DiSC,Gamla Stan,2021-10-05,20211005-1
3,1694.5,2792,"58,4","9,26","7,83","3,19",2021-10-05 07:29:14,DiSC,Gamla Stan,2021-10-05,20211005-1
4,1704.5,3827,"58,3","12,68","10,71","4,37",2021-10-05 07:29:24,DiSC,Gamla Stan,2021-10-05,20211005-1
5,1714.5,3620,"60,6","12,51","10,69","4,19",2021-10-05 07:29:34,DiSC,Gamla Stan,2021-10-05,20211005-1
6,1724.5,3451,"61,8","12,19","10,48","4,02",2021-10-05 07:29:44,DiSC,Gamla Stan,2021-10-05,20211005-1
7,1734.5,3794,"58,1","12,52","10,56","4,32",2021-10-05 07:29:54,DiSC,Gamla Stan,2021-10-05,20211005-1
8,1744.5,3644,"61,5","12,8","10,98","4,23",2021-10-05 07:30:04,DiSC,Gamla Stan,2021-10-05,20211005-1
9,1754.5,3780,"58,7","12,61","10,68","4,32",2021-10-05 07:30:14,DiSC,Gamla Stan,2021-10-05,20211005-1
10,1764.5,3645,"60,3","12,53","10,7","4,21",2021-10-05 07:30:24,DiSC,Gamla Stan,2021-10-05,20211005-1
11,744.5,4688,"44,3","11,44","8,73","4,87",2021-10-05 07:13:24,DiSC,Gullmarsplan,2021-10-05,20211005-1
12,1154.5,5269,"46,1","13,45","10,44","5,55",2021-10-05 07:20:14,DiSC,Medborgarplatsen,2021-10-05,20211005-1
13,1164.5,5822,"43,5","13,91","10,53","6,01",2021-10-05 07:20:24,DiSC,Medborgarplatsen,2021-10-05,20211005-1
14,1174.5,4942,"48,9","13,45","10,69","5,31",2021-10-05 07:20:34,DiSC,Medborgarplatsen,2021-10-05,20211005-1
15,1184.5,3566,53,"10,61","8,69","3,94",2021-10-05 07:20:44,DiSC,Medborgarplatsen,2021-10-05,20211005-1
16,1194.5,2948,"54,3","9,01","7,44","3,28",2021-10-05 07:20:54,DiSC,Medborgarplatsen,2021-10-05,20211005-1
17,1204.5,2771,"56,5","8,86","7,42","3,13",2021-10-05 07:21:04,DiSC,Medborgarplatsen,2021-10-05,20211005-1
18,1214.5,2615,"57,6","8,55","7,2","2,97",2021-10-05 07:21:14,DiSC,Medborgarplatsen,2021-10-05,20211005-1
19,1224.5,2596,"57,6","8,48","7,14","2,95",2021-10-05 07:21:24,DiSC,Medborgarplatsen,2021-10-05,20211005-1
20,1234.5,2457,"59,6","8,34","7,1","2,82",2021-10-05 07:21:34,DiSC,Medborgarplatsen,2021-10-05,20211005-1
21,1244.5,2477,"58,1","8,18","6,9","2,82",2021-10-05 07:21:44,DiSC,Medborgarplatsen,2021-10-05,20211005-1
22,1254.5,2510,"57,7","8,22","6,93","2,85",2021-10-05 07:21:54,DiSC,Medborgarplatsen,2021-10-05,20211005-1
23,1264.5,2451,"57,8","8,04","6,78","2,79",2021-10-05 07:22:04,DiSC,Medborgarplatsen,2021-10-05,20211005-1
