,Timestamp,Station,Sensor,PM2.5,Session Id
0,2021-10-07 07:54:06,Alvik,A,5.33,20211007-1
1,2021-10-07 07:54:06,Alvik,B,5.16,20211007-1
2,2021-10-07 07:54:06,Alvik,C,5.46,20211007-1
3,2021-10-07 07:54:06,Alvik,D,5.64,20211007-1
4,2021-10-07 07:54:07,Alvik,A,5.3,20211007-1
5,2021-10-07 07:54:07,Alvik,B,5.19,20211007-1
6,2021-10-07 07:54:07,Alvik,C,5.42,20211007-1
7,2021-10-07 07:54:07,Alvik,D,5.6,20211007-1
8,2021-10-07 07:54:07,Alvik,E,5.77,20211007-1
9,2021-10-07 07:54:07,Alvik,E,5.76,20211007-1
10,2021-10-07 07:54:08,Alvik,A,5.3,20211007-1
11,2021-10-07 07:54:08,Alvik,B,5.23,20211007-1
12,2021-10-07 07:54:08,Alvik,C,5.39,20211007-1
13,2021-10-07 07:54:08,Alvik,D,5.56,20211007-1
14,2021-10-07 07:54:09,Alvik,A,5.27,20211007-1
15,2021-10-07 07:54:09,Alvik,B,5.27,20211007-1
16,2021-10-07 07:54:09,Alvik,C,5.35,20211007-1
17,2021-10-07 07:54:09,Alvik,D,5.54,20211007-1
18,2021-10-07 07:54:09,Alvik,E,5.76,20211007-1
19,2021-10-07 07:54:10,Alvik,B,5.3,20211007-1
20,2021-10-07 07:54:10,Alvik,C,5.33,20211007-1
21,2021-10-07 07:54:10,Alvik,E,5.73,20211007-1
22,2021-10-07 07:54:11,Alvik,A,5.23,20211007-1
23,2021-10-07 07:54:11,Alvik,B,5.32,20211007-1
24,2021-10-07 07:54:11,Alvik,C,5.28,20211007-1
25,2021-10-07 07:54:11,Alvik,D,5.53,20211007-1
26,2021-10-07 07:54:11,Alvik,E,5.71,20211007-1
27,2021-10-07 07:54:12,Alvik,A,5.18,20211007-1
28,2021-10-07 07:54:12,Alvik,B,5.34,20211007-1
29,2021-10-07 07:54:12,Alvik,C,5.23,20211007-1
30,2021-10-07 07:54:12,Alvik,C,5.17,20211007-1
31,2021-10-07 07:54:12,Alvik,D,5.49,20211007-1
32,2021-10-07 07:54:12,Alvik,E,5.68,20211007-1
33,2021-10-07 07:54:13,Alvik,A,5.12,20211007-1
34,2021-10-07 07:54:13,Alvik,D,5.4,20211007-1
35,2021-10-07 07:54:13,Alvik,E,5.63,20211007-1
36,2021-10-07 07:54:14,Alvik,A,5.05,20211007-1
37,2021-10-07 07:54:14,Alvik,B,5.36,20211007-1
38,2021-10-07 07:54:14,Alvik,C,5.12,20211007-1
39,2021-10-07 07:54:14,Alvik,D,5.35,20211007-1
40,2021-10-07 07:54:14,Alvik,E,5.61,20211007-1
41,2021-10-07 07:54:15,Alvik,A,5.04,20211007-1
42,2021-10-07 07:54:15,Alvik,B,5.4,20211007-1
43,2021-10-07 07:54:15,Alvik,D,5.33,20211007-1
44,2021-10-07 07:54:15,Alvik,E,5.57,20211007-1
45,2021-10-07 07:54:16,Alvik,A,4.99,20211007-1
46,2021-10-07 07:54:16,Alvik,B,5.39,20211007-1
47,2021-10-07 07:54:16,Alvik,C,5.07,20211007-1
48,2021-10-07 07:54:16,Alvik,D,5.29,20211007-1
49,2021-10-07 07:54:16,Alvik,E,5.51,20211007-1
50,2021-10-07 07:54:17,Alvik,A,4.95,20211007-1
51,2021-10-07 07:54:17,Alvik,B,5.39,20211007-1
52,2021-10-07 07:54:17,Alvik,C,5.08,20211007-1
53,2021-10-07 07:54:17,Alvik,D,5.24,20211007-1
54,2021-10-07 07:54:17,Alvik,E,5.5,20211007-1
55,2021-10-07 07:54:18,Alvik,A,4.92,20211007-1
56,2021-10-07 07:54:18,Alvik,B,5.41,20211007-1
57,2021-10-07 07:54:18,Alvik,C,5.11,20211007-1
58,2021-10-07 07:54:18,Alvik,D,5.18,20211007-1
