,Time,Number,Size,LDSA,Filter,Diff,Timestamp,Station,Date,Sensor,Session Id
0,784.5,5987,60,"20,45","17,42","6,9",2021-10-04 08:23:04,Gamla Stan,2021-10-04,DiSC,20211004-1
1,794.5,6079,"58,8","20,31","17,19","6,95",2021-10-04 08:23:14,Gamla Stan,2021-10-04,DiSC,20211004-1
2,804.5,5782,"61,2","20,21","17,32","6,71",2021-10-04 08:23:24,Gamla Stan,2021-10-04,DiSC,20211004-1
3,814.5,5714,"61,1","19,95","17,09","6,63",2021-10-04 08:23:34,Gamla Stan,2021-10-04,DiSC,20211004-1
4,824.5,5712,"61,1","19,91","17,04","6,62",2021-10-04 08:23:44,Gamla Stan,2021-10-04,DiSC,20211004-1
5,834.5,5534,"62,3","19,72","16,99","6,46",2021-10-04 08:23:54,Gamla Stan,2021-10-04,DiSC,20211004-1
6,844.5,5841,"60,2","20,06","17,11","6,74",2021-10-04 08:24:04,Gamla Stan,2021-10-04,DiSC,20211004-1
7,854.5,5538,"62,2","19,69","16,94","6,46",2021-10-04 08:24:14,Gamla Stan,2021-10-04,DiSC,20211004-1
8,864.5,5575,62,"19,76","16,99","6,5",2021-10-04 08:24:24,Gamla Stan,2021-10-04,DiSC,20211004-1
9,874.5,5640,"61,7","19,87","17,06","6,56",2021-10-04 08:24:34,Gamla Stan,2021-10-04,DiSC,20211004-1
10,884.5,5660,"61,4","19,84","17,01","6,57",2021-10-04 08:24:44,Gamla Stan,2021-10-04,DiSC,20211004-1
11,894.5,5460,"62,8","19,65","16,97","6,39",2021-10-04 08:24:54,Gamla Stan,2021-10-04,DiSC,20211004-1
12,904.5,5293,65,"19,76","17,21","6,27",2021-10-04 08:25:04,Gamla Stan,2021-10-04,DiSC,20211004-1
13,914.5,5356,"64,2","19,75","17,15","6,32",2021-10-04 08:25:14,Gamla Stan,2021-10-04,DiSC,20211004-1
14,924.5,5189,"66,7","19,96","17,52","6,21",2021-10-04 08:25:24,Gamla Stan,2021-10-04,DiSC,20211004-1
15,934.5,5319,"64,8","19,8","17,24","6,3",2021-10-04 08:25:34,Gamla Stan,2021-10-04,DiSC,20211004-1
16,944.5,5436,"63,7","19,86","17,21","6,4",2021-10-04 08:25:44,Gamla Stan,2021-10-04,DiSC,20211004-1
17,954.5,5430,"64,2","20,02","17,39","6,41",2021-10-04 08:25:54,Gamla Stan,2021-10-04,DiSC,20211004-1
18,964.5,5364,"64,6","19,91","17,32","6,35",2021-10-04 08:26:04,Gamla Stan,2021-10-04,DiSC,20211004-1
19,974.5,5649,"64,4","20,9","18,17","6,67",2021-10-04 08:26:14,Gamla Stan,2021-10-04,DiSC,20211004-1
20,984.5,5607,"66,5","21,48","18,82","6,7",2021-10-04 08:26:24,Gamla Stan,2021-10-04,DiSC,20211004-1
21,994.5,4980,"69,9","20,18","17,91","6,07",2021-10-04 08:26:34,Gamla Stan,2021-10-04,DiSC,20211004-1
22,1004.5,5113,"68,5","20,24","17,88","6,18",2021-10-04 08:26:44,Gamla Stan,2021-10-04,DiSC,20211004-1
23,1014.5,5098,"68,7","20,25","17,9","6,17",2021-10-04 08:26:54,Gamla Stan,2021-10-04,DiSC,20211004-1
24,1024.5,5097,"68,6","20,22","17,87","6,17",2021-10-04 08:27:04,Gamla Stan,2021-10-04,DiSC,20211004-1
25,1034.5,5031,"68,6","19,94","17,61","6,08",2021-10-04 08:27:14,Gamla Stan,2021-10-04,DiSC,20211004-1
26,1044.5,4863,70,"19,73","17,52","5,93",2021-10-04 08:27:24,Gamla Stan,2021-10-04,DiSC,20211004-1
27,1054.5,4991,"68,7","19,82","17,52","6,04",2021-10-04 08:27:34,Gamla Stan,2021-10-04,DiSC,20211004-1
28,1064.5,4959,"68,2","19,53","17,23","5,98",2021-10-04 08:27:44,Gamla Stan,2021-10-04,DiSC,20211004-1
29,1074.5,4947,"68,4","19,56","17,28","5,98",2021-10-04 08:27:54,Gamla Stan,2021-10-04,DiSC,20211004-1
30,1084.5,4701,"70,3","19,14","17,02","5,74",2021-10-04 08:28:04,Gamla Stan,2021-10-04,DiSC,20211004-1
31,1494.5,3595,"73,3","15,36","13,79","4,47",2021-10-04 08:34:54,Hötorget,2021-10-04,DiSC,20211004-1
32,1504.5,3950,"67,4","15,35","13,51","4,75",2021-10-04 08:35:04,Hötorget,2021-10-04,DiSC,20211004-1
33,1514.5,3520,"73,8","15,15","13,63","4,39",2021-10-04 08:35:14,Hötorget,2021-10-04,DiSC,20211004-1
34,1524.5,3473,"75,1","15,22","13,75","4,36",2021-10-04 08:35:24,Hötorget,2021-10-04,DiSC,20211004-1
35,1534.5,3638,"72,3","15,3","13,7","4,49",2021-10-04 08:35:34,Hötorget,2021-10-04,DiSC,20211004-1
36,1544.5,3786,"71,2","15,64","13,95","4,65",2021-10-04 08:35:44,Hötorget,2021-10-04,DiSC,20211004-1
37,1554.5,3764,"71,5","15,64","13,97","4,63",2021-10-04 08:35:54,Hötorget,2021-10-04,DiSC,20211004-1
38,324.5,4787,"69,5","19,26","17,08","5,82",2021-10-04 08:15:24,Medborgarplatsen,2021-10-04,DiSC,20211004-1
39,334.5,5154,"67,1","19,94","17,52","6,18",2021-10-04 08:15:34,Medborgarplatsen,2021-10-04,DiSC,20211004-1
40,344.5,4963,"68,6","19,68","17,39",6,2021-10-04 08:15:44,Medborgarplatsen,2021-10-04,DiSC,20211004-1
41,354.5,5148,"66,6","19,76","17,33","6,16",2021-10-04 08:15:54,Medborgarplatsen,2021-10-04,DiSC,20211004-1
42,364.5,4947,"68,5","19,6","17,32","5,98",2021-10-04 08:16:04,Medborgarplatsen,2021-10-04,DiSC,20211004-1
43,374.5,4919,"69,2","19,7","17,45","5,97",2021-10-04 08:16:14,Medborgarplatsen,2021-10-04,DiSC,20211004-1
44,384.5,5139,"67,7","20,09","17,69","6,19",2021-10-04 08:16:24,Medborgarplatsen,2021-10-04,DiSC,20211004-1
45,394.5,5043,68,"19,8","17,45","6,08",2021-10-04 08:16:34,Medborgarplatsen,2021-10-04,DiSC,20211004-1
46,404.5,5427,"65,6","20,47","17,88","6,45",2021-10-04 08:16:44,Medborgarplatsen,2021-10-04,DiSC,20211004-1
47,1894.5,3817,"72,8","16,18","14,51","4,73",2021-10-04 08:41:34,Odenplan,2021-10-04,DiSC,20211004-1
48,1904.5,3930,"71,1","16,21","14,45","4,82",2021-10-04 08:41:44,Odenplan,2021-10-04,DiSC,20211004-1
49,1914.5,3972,"71,3","16,44","14,67","4,88",2021-10-04 08:41:54,Odenplan,2021-10-04,DiSC,20211004-1
50,1924.5,3958,"70,7","16,25","14,47","4,85",2021-10-04 08:42:04,Odenplan,2021-10-04,DiSC,20211004-1
51,1934.5,3911,"71,8","16,31","14,57","4,82",2021-10-04 08:42:14,Odenplan,2021-10-04,DiSC,20211004-1
52,1944.5,3873,"71,9","16,18","14,46","4,77",2021-10-04 08:42:24,Odenplan,2021-10-04,DiSC,20211004-1
53,1954.5,3878,"72,3","16,31","14,6","4,79",2021-10-04 08:42:34,Odenplan,2021-10-04,DiSC,20211004-1
54,1964.5,3998,"71,7","16,64","14,87","4,92",2021-10-04 08:42:44,Odenplan,2021-10-04,DiSC,20211004-1
55,1704.5,5743,"58,3","19,02","16,06","6,55",2021-10-04 08:38:24,Rådmansgatan,2021-10-04,DiSC,20211004-1
56,1714.5,5614,59,"18,82","15,95","6,43",2021-10-04 08:38:34,Rådmansgatan,2021-10-04,DiSC,20211004-1
57,1724.5,5605,"59,8","19,09","16,25","6,45",2021-10-04 08:38:44,Rådmansgatan,2021-10-04,DiSC,20211004-1
58,1734.5,5629,"58,4","18,66","15,76","6,42",2021-10-04 08:38:54,Rådmansgatan,2021-10-04,DiSC,20211004-1
59,114.5,5204,65,"19,43","16,93","6,17",2021-10-04 08:11:54,Skanstull,2021-10-04,DiSC,20211004-1
60,124.5,5013,"66,9","19,34","16,99","6,01",2021-10-04 08:12:04,Skanstull,2021-10-04,DiSC,20211004-1
61,134.5,4773,"68,7","18,96","16,77","5,78",2021-10-04 08:12:14,Skanstull,2021-10-04,DiSC,20211004-1
62,144.5,4986,"66,9","19,22","16,87","5,97",2021-10-04 08:12:24,Skanstull,2021-10-04,DiSC,20211004-1
63,154.5,4999,"66,3","19,08","16,71","5,97",2021-10-04 08:12:34,Skanstull,2021-10-04,DiSC,20211004-1
64,164.5,4882,"67,5",19,"16,72","5,87",2021-10-04 08:12:44,Skanstull,2021-10-04,DiSC,20211004-1
65,174.5,4796,"68,4","18,97","16,75","5,8",2021-10-04 08:12:54,Skanstull,2021-10-04,DiSC,20211004-1
