,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
37,2021-10-11 16:56:38,Odenplan,B,22.5,48.0,73.31,107.71,122.45,125.43,1.05,15.46,30.11,41.26,43.49,20211011-3
38,2021-10-11 16:56:38,Odenplan,C,22.5,47.8,72.35,108.69,124.74,127.92,1.04,15.75,31.84,44.12,46.58,20211011-3
39,2021-10-11 16:56:38,Odenplan,D,22.4,48.4,68.63,100.51,114.2,117.02,1.0,14.41,27.66,37.72,39.73,20211011-3
40,2021-10-11 16:56:38,Odenplan,E,22.6,48.8,81.02,118.91,135.15,138.53,1.01,17.05,32.85,44.83,47.23,20211011-3
41,2021-10-11 16:56:39,Odenplan,A,22.5,48.3,69.85,101.52,114.96,117.72,1.04,14.5,27.52,37.38,39.36,20211011-3
42,2021-10-11 16:56:39,Odenplan,B,22.5,47.9,73.26,107.75,122.55,125.55,1.06,15.47,30.18,41.37,43.61,20211011-3
43,2021-10-11 16:56:39,Odenplan,C,22.4,47.6,71.97,108.12,124.08,127.24,1.03,15.67,31.67,43.89,46.33,20211011-3
44,2021-10-11 16:56:39,Odenplan,C,22.5,47.6,71.58,107.59,123.5,126.65,1.04,15.6,31.54,43.72,46.15,20211011-3
45,2021-10-11 16:56:39,Odenplan,D,22.4,48.2,68.08,99.69,113.27,116.06,1.01,14.29,27.43,37.4,39.4,20211011-3
46,2021-10-11 16:56:39,Odenplan,D,22.4,48.0,67.53,98.95,112.46,115.24,1.01,14.19,27.26,37.18,39.17,20211011-3
47,2021-10-11 16:56:39,Odenplan,E,22.5,48.6,81.06,119.09,135.4,138.8,1.01,17.09,32.95,45.0,47.41,20211011-3
48,2021-10-11 16:56:40,Odenplan,A,22.5,48.2,69.51,101.04,114.42,117.17,1.04,14.44,27.4,37.22,39.18,20211011-3
49,2021-10-11 16:56:40,Odenplan,B,22.5,47.8,73.19,107.7,122.52,125.52,1.06,15.46,30.2,41.41,43.65,20211011-3
50,2021-10-11 16:56:40,Odenplan,E,22.5,48.5,81.17,119.38,135.8,139.22,1.01,17.14,33.11,45.24,47.66,20211011-3
51,2021-10-11 16:56:41,Odenplan,A,22.5,48.3,69.37,100.86,114.23,116.98,1.04,14.41,27.36,37.17,39.13,20211011-3
52,2021-10-11 16:56:41,Odenplan,B,22.5,47.6,73.03,107.52,122.35,125.35,1.06,15.44,30.19,41.4,43.64,20211011-3
53,2021-10-11 16:56:41,Odenplan,C,22.5,47.9,71.2,107.09,122.97,126.11,1.04,15.53,31.44,43.59,46.02,20211011-3
54,2021-10-11 16:56:41,Odenplan,D,22.4,47.9,67.08,98.32,111.76,114.53,1.01,14.1,27.11,36.98,38.96,20211011-3
